bag_tag_id,booking_reference,passenger_name,flt_number,origin,destination,weight_kg,bag_type,check_in_timestamp,belt_assigned,scan_status,current_location,loaded_to_aircraft,delivery_status,damage_reported,claim_filed
BT2401190008,BK2401190006,Aung Myat,TW905,ICN,RGN,19.8,CHECKED,2024-01-19 08:05:35,B16,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401190009,BK2401190007,령다온,KE680,ICN,VIE,24.2,CHECKED,2024-01-19 09:30:20,A16,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401190010,BK2401190007,령다온,KE680,ICN,VIE,21.8,CHECKED,2024-01-19 09:30:35,A16,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401190011,BK2401190008,Klaus Schmidt,KE680,ICN,VIE,28.5,CHECKED,2024-01-19 09:25:20,A16,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401190012,BK2401190008,Klaus Schmidt,KE680,ICN,VIE,26.2,CHECKED,2024-01-19 09:25:35,A16,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401190013,BK2401190008,Klaus Schmidt,KE680,ICN,VIE,24.8,CHECKED,2024-01-19 09:25:50,A16,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401200001,BK2401200001,로민영,KE999,ICN,LAX,18.5,CHECKED,2024-01-20 06:30:15,B12,SCANNED,CHECK_IN,FALSE,PENDING,FALSE,FALSE
BT2401200002,BK2401200002,록지한,KE999,ICN,LAX,22.8,CHECKED,2024-01-20 06:35:20,B12,SCANNED,CHECK_IN,FALSE,PENDING,FALSE,FALSE
BT2401200003,BK2401200002,록지한,KE999,ICN,LAX,20.5,CHECKED,2024-01-20 06:35:35,B12,SCANNED,CHECK_IN,FALSE,PENDING,FALSE,FALSE
BT2401200004,BK2401200003,뢰서영,OZ999,ICN,NRT,19.2,CHECKED,2024-01-20 08:00:15,B07,SCANNED,CHECK_IN,FALSE,PENDING,FALSE,FALSE
BT2401200005,BK2401200005,료현우,7C999,ICN,CJU,15.5,CHECKED,2024-01-20 06:00:20,C03,SCANNED,CHECK_IN,FALSE,PENDING,FALSE,FALSE
BT2401200006,BK2401200006,류채은,7C999,ICN,CJU,16.8,CHECKED,2024-01-20 06:05:15,C03,SCANNED,CHECK_IN,FALSE,PENDING,FALSE,FALSE
BT2401200007,BK2401200009,륜소담,LJ999,ICN,PUS,17.2,CHECKED,2024-01-20 08:30:20,C08,SCANNED,TRANSFER,FALSE,DELAYED,FALSE,FALSE
BT2401200008,BK2401200010,률민재,LJ999,ICN,PUS,21.5,CHECKED,2024-01-20 08:35:15,C08,SCANNED,TRANSFER,FALSE,DELAYED,FALSE,FALSE
BT2401200009,BK2401200010,률민재,LJ999,ICN,PUS,19.2,CHECKED,2024-01-20 08:35:30,C08,SCANNED,TRANSFER,FALSE,DELAYED,FALSE,FALSE
BT2401200010,BK2401200011,릉예나,OZ888,ICN,SIN,23.8,CHECKED,2024-01-20 09:30:20,B02,SCANNED,CHECK_IN,FALSE,PENDING,FALSE,FALSE
BT2401200011,BK2401200011,릉예나,OZ888,ICN,SIN,21.5,CHECKED,2024-01-20 09:30:35,B02,SCANNED,CHECK_IN,FALSE,PENDING,FALSE,FALSE
BT2401200012,BK2401200012,Lim Wei Ming,OZ888,ICN,SIN,18.2,CHECKED,2024-01-20 09:35:20,B02,SCANNED,CHECK_IN,FALSE,PENDING,FALSE,FALSE
BT2401200013,BK2401200019,막서율,KE666,ICN,HKG,19.5,CHECKED,2024-01-20 05:30:15,A08,SCANNED,AIRCRAFT,TRUE,IN_TRANSIT,FALSE,FALSE
BT2401200014,BK2401200020,만채민,KE666,ICN,HKG,22.8,CHECKED,2024-01-20 05:35:20,A08,SCANNED,AIRCRAFT,TRUE,IN_TRANSIT,FALSE,FALSE
BT2401200015,BK2401200020,만채민,KE666,ICN,HKG,20.5,CHECKED,2024-01-20 05:35:35,A08,SCANNED,AIRCRAFT,TRUE,IN_TRANSIT,FALSE,FALSE
BT2401200016,BK2401200015,립다연,KE777,ICN,JFK,0.0,CHECKED,,,NOT_SCANNED,UNKNOWN,FALSE,PENDING,FALSE,FALSE
BT2401200017,BK2401200016,David Anderson,KE777,ICN,JFK,0.0,CHECKED,,,NOT_SCANNED,UNKNOWN,FALSE,PENDING,FALSE,FALSE
